SITE,SITECODE,TREAT,HEIGHT
STEESE,34_2,2,92
STEESE,34_2,2,4
STEESE,34_2,2,12
STEESE,34_2,2,117
STEESE,34_2,2,0
STEESE,34_2,2,0
STEESE,34_2,2,1
STEESE,34_2,2,0
STEESE,34_2,2,24
STEESE,34_2,2,1
STEESE,34_2,2,33
STEESE,34_2,2,1
STEESE,34_2,2,27
STEESE,34_2,2,42
STEESE,34_2,2,9
STEESE,34_2,2,31
STEESE,34_2,2,46
STEESE,34_2,2,22
STEESE,34_2,2,129
STEESE,34_2,2,174
STEESE,34_2,2,137
STEESE,34_2,2,0
STEESE,34_2,2,5
STEESE,34_2,2,1
STEESE,34_2,2,83
STEESE,34_2,2,0
STEESE,34_2,2,62
STEESE,34_2,2,1
STEESE,34_2,2,106
STEESE,34_2,2,4
STEESE,22_3,3,27
STEESE,22_3,3,1
STEESE,22_3,3,4
STEESE,22_3,3,1
STEESE,22_3,3,7
STEESE,22_3,3,5
STEESE,22_3,3,17
STEESE,22_3,3,3
STEESE,22_3,3,6
STEESE,22_3,3,17
STEESE,22_3,3,4
STEESE,22_3,3,12
STEESE,22_3,3,6
STEESE,22_3,3,8
STEESE,22_3,3,64
STEESE,22_3,3,1
STEESE,22_3,3,6
STEESE,22_3,3,2
STEESE,22_3,3,3
STEESE,22_3,3,6
STEESE,22_3,3,9
STEESE,22_3,3,19
STEESE,22_3,3,3
STEESE,22_3,3,8
STEESE,22_3,3,0
STEESE,22_3,3,15
STEESE,22_3,3,14
STEESE,22_3,3,9
STEESE,22_3,3,2
STEESE,22_3,3,5
STEESE,17_3,3,17
STEESE,17_3,3,13
STEESE,17_3,3,24
STEESE,17_3,3,24
STEESE,17_3,3,17
STEESE,17_3,3,10
STEESE,17_3,3,7
STEESE,17_3,3,10
STEESE,17_3,3,47
STEESE,17_3,3,12
STEESE,17_3,3,14
STEESE,17_3,3,9
STEESE,17_3,3,1
STEESE,17_3,3,1
STEESE,17_3,3,3
STEESE,17_3,3,12
STEESE,17_3,3,4
STEESE,17_3,3,17
STEESE,17_3,3,47
STEESE,17_3,3,9
STEESE,17_3,3,10
STEESE,17_3,3,99
STEESE,17_3,3,27
STEESE,17_3,3,1
STEESE,17_3,3,79
STEESE,17_3,3,78
STEESE,17_3,3,27
STEESE,17_3,3,54
STEESE,17_3,3,17
STEESE,17_3,3,63
STEESE,25_3,3,19
STEESE,25_3,3,25
STEESE,25_3,3,2
STEESE,25_3,3,7
STEESE,25_3,3,3
STEESE,25_3,3,1
STEESE,25_3,3,6
STEESE,25_3,3,5
STEESE,25_3,3,8
STEESE,25_3,3,12
STEESE,25_3,3,2
STEESE,25_3,3,50
STEESE,25_3,3,13
STEESE,25_3,3,13
STEESE,25_3,3,19
STEESE,25_3,3,12
STEESE,25_3,3,4
STEESE,25_3,3,21
STEESE,25_3,3,26
STEESE,25_3,3,18
STEESE,25_3,3,35
STEESE,25_3,3,15
STEESE,25_3,3,1
STEESE,25_3,3,51
STEESE,25_3,3,17
STEESE,25_3,3,13
STEESE,25_3,3,36
STEESE,25_3,3,25
STEESE,25_3,3,0
STEESE,25_3,3,3
STEESE,35_3,3,12
STEESE,35_3,3,2
STEESE,35_3,3,1
STEESE,35_3,3,1
STEESE,35_3,3,22
STEESE,35_3,3,1
STEESE,35_3,3,9
STEESE,35_3,3,1
STEESE,35_3,3,32
STEESE,35_3,3,40
STEESE,35_3,3,4
STEESE,35_3,3,15
STEESE,35_3,3,1
STEESE,35_3,3,4
STEESE,35_3,3,1
STEESE,35_3,3,44
STEESE,35_3,3,0
STEESE,35_3,3,24
STEESE,35_3,3,3
STEESE,35_3,3,4
STEESE,35_3,3,5
STEESE,35_3,3,6
STEESE,35_3,3,6
STEESE,35_3,3,4
STEESE,35_3,3,14
STEESE,35_3,3,1
STEESE,35_3,3,24
STEESE,35_3,3,17
STEESE,35_3,3,33
STEESE,35_3,3,6
STEESE,35_3,3,42
STEESE,35_3,3,
STEESE,24_3,3,1
STEESE,24_3,3,2
STEESE,24_3,3,1
STEESE,24_3,3,1
STEESE,24_3,3,15
STEESE,24_3,3,3
STEESE,24_3,3,1
STEESE,24_3,3,1
STEESE,24_3,3,0
STEESE,24_3,3,0
STEESE,24_3,3,1
STEESE,24_3,3,3
STEESE,24_3,3,7
STEESE,24_3,3,23
STEESE,24_3,3,3
STEESE,24_3,3,3
STEESE,24_3,3,20
STEESE,24_3,3,4
STEESE,24_3,3,1
STEESE,24_3,3,2
STEESE,24_3,3,21
STEESE,24_3,3,0
STEESE,24_3,3,3
STEESE,24_3,3,0
STEESE,24_3,3,3
STEESE,24_3,3,31
STEESE,24_3,3,1
STEESE,24_3,3,0
STEESE,24_3,3,11
STEESE,24_3,3,1
STEESE,24_3,3,1
STEESE,24_3,3,
STEESE,26_2,2,29
STEESE,26_2,2,65
STEESE,26_2,2,10
STEESE,26_2,2,72
STEESE,26_2,2,45
STEESE,26_2,2,112
STEESE,26_2,2,53
STEESE,26_2,2,38
STEESE,26_2,2,34
STEESE,26_2,2,4
STEESE,26_2,2,3
STEESE,26_2,2,19
STEESE,26_2,2,31
STEESE,26_2,2,30
STEESE,26_2,2,22
STEESE,26_2,2,29
STEESE,26_2,2,7
STEESE,26_2,2,9
STEESE,26_2,2,29
STEESE,26_2,2,59
STEESE,26_2,2,98
STEESE,26_2,2,49
STEESE,26_2,2,62
STEESE,26_2,2,49
STEESE,26_2,2,3
STEESE,26_2,2,74
STEESE,26_2,2,21
STEESE,26_2,2,15
STEESE,26_2,2,34
STEESE,26_2,2,63
STEESE,33_1,1,4
STEESE,33_1,1,41
STEESE,33_1,1,56
STEESE,33_1,1,24
STEESE,33_1,1,21
STEESE,33_1,1,28
STEESE,33_1,1,9
STEESE,33_1,1,9
STEESE,33_1,1,30
STEESE,33_1,1,19
STEESE,33_1,1,6
STEESE,33_1,1,83
STEESE,33_1,1,7
STEESE,33_1,1,32
STEESE,33_1,1,76
STEESE,33_1,1,13
STEESE,33_1,1,56
STEESE,33_1,1,5
STEESE,33_1,1,3
STEESE,33_1,1,8
STEESE,33_1,1,17
STEESE,33_1,1,19
STEESE,33_1,1,12
STEESE,33_1,1,9
STEESE,33_1,1,7
STEESE,33_1,1,22
STEESE,33_1,1,12
STEESE,33_1,1,2
STEESE,33_1,1,29
STEESE,33_1,1,36
STEESE,18_1,1,8
STEESE,18_1,1,30
STEESE,18_1,1,10
STEESE,18_1,1,4
STEESE,18_1,1,16
STEESE,18_1,1,34
STEESE,18_1,1,50
STEESE,18_1,1,1
STEESE,18_1,1,24
STEESE,18_1,1,45
STEESE,18_1,1,18
STEESE,18_1,1,30
STEESE,18_1,1,12
STEESE,18_1,1,43
STEESE,18_1,1,8
STEESE,18_1,1,22
STEESE,18_1,1,32
STEESE,18_1,1,0
STEESE,18_1,1,13
STEESE,18_1,1,10
STEESE,18_1,1,24
STEESE,18_1,1,23
STEESE,18_1,1,7
STEESE,18_1,1,26
STEESE,18_1,1,32
STEESE,18_1,1,43
STEESE,18_1,1,47
STEESE,18_1,1,33
STEESE,18_1,1,22
STEESE,18_1,1,17
STEESE,29_1,1,7
STEESE,29_1,1,62
STEESE,29_1,1,17
STEESE,29_1,1,20
STEESE,29_1,1,47
STEESE,29_1,1,24
STEESE,29_1,1,32
STEESE,29_1,1,37
STEESE,29_1,1,69
STEESE,29_1,1,4
STEESE,29_1,1,43
STEESE,29_1,1,0
STEESE,29_1,1,27
STEESE,29_1,1,16
STEESE,29_1,1,4
STEESE,29_1,1,16
STEESE,29_1,1,58
STEESE,29_1,1,32
STEESE,29_1,1,40
STEESE,29_1,1,49
STEESE,29_1,1,29
STEESE,29_1,1,28
STEESE,29_1,1,39
STEESE,29_1,1,3
STEESE,29_1,1,61
STEESE,29_1,1,12
STEESE,29_1,1,46
STEESE,29_1,1,29
STEESE,29_1,1,42
STEESE,29_1,1,20
STEESE,23_3,3,3
STEESE,23_3,3,132
STEESE,23_3,3,40
STEESE,23_3,3,4
STEESE,23_3,3,5
STEESE,23_3,3,4
STEESE,23_3,3,2
STEESE,23_3,3,1
STEESE,23_3,3,6
STEESE,23_3,3,0
STEESE,23_3,3,1
STEESE,23_3,3,0
STEESE,23_3,3,1
STEESE,23_3,3,1
STEESE,23_3,3,0
STEESE,23_3,3,0
STEESE,23_3,3,1
STEESE,23_3,3,19
STEESE,23_3,3,6
STEESE,23_3,3,1
STEESE,23_3,3,32
STEESE,23_3,3,6
STEESE,23_3,3,2
STEESE,23_3,3,8
STEESE,23_3,3,6
STEESE,23_3,3,0
STEESE,23_3,3,1
STEESE,23_3,3,32
STEESE,23_3,3,7
STEESE,23_3,3,3
STEESE,2_3,3,0
STEESE,2_3,3,3
STEESE,2_3,3,0
STEESE,2_3,3,0
STEESE,2_3,3,32
STEESE,2_3,3,0
STEESE,2_3,3,1
STEESE,2_3,3,0
STEESE,2_3,3,17
STEESE,2_3,3,7
STEESE,2_3,3,52
STEESE,2_3,3,12
STEESE,2_3,3,19
STEESE,2_3,3,1
STEESE,2_3,3,0
STEESE,2_3,3,0
STEESE,2_3,3,0
STEESE,2_3,3,2
STEESE,2_3,3,2
STEESE,2_3,3,0
STEESE,2_3,3,1
STEESE,2_3,3,4
STEESE,2_3,3,7
STEESE,2_3,3,3
STEESE,2_3,3,3
STEESE,2_3,3,1
STEESE,2_3,3,4
STEESE,2_3,3,0
STEESE,2_3,3,50
STEESE,2_3,3,0
STEESE,36_1,1,3
STEESE,36_1,1,19
STEESE,36_1,1,26
STEESE,36_1,1,21
STEESE,36_1,1,20
STEESE,36_1,1,30
STEESE,36_1,1,26
STEESE,36_1,1,2
STEESE,36_1,1,42
STEESE,36_1,1,43
STEESE,36_1,1,56
STEESE,36_1,1,78
STEESE,36_1,1,21
STEESE,36_1,1,6
STEESE,36_1,1,23
STEESE,36_1,1,24
STEESE,36_1,1,42
STEESE,36_1,1,0
STEESE,36_1,1,6
STEESE,36_1,1,15
STEESE,36_1,1,9
STEESE,36_1,1,13
STEESE,36_1,1,0
STEESE,36_1,1,8
STEESE,36_1,1,22
STEESE,36_1,1,31
STEESE,36_1,1,9
STEESE,36_1,1,38
STEESE,36_1,1,23
STEESE,36_1,1,9
STEESE,20_1,1,22
STEESE,20_1,1,28
STEESE,20_1,1,7
STEESE,20_1,1,33
STEESE,20_1,1,14
STEESE,20_1,1,0
STEESE,20_1,1,1
STEESE,20_1,1,1
STEESE,20_1,1,10
STEESE,20_1,1,0
STEESE,20_1,1,7
STEESE,20_1,1,1
STEESE,20_1,1,3
STEESE,20_1,1,23
STEESE,20_1,1,19
STEESE,20_1,1,105
STEESE,20_1,1,37
STEESE,20_1,1,32
STEESE,20_1,1,6
STEESE,20_1,1,20
STEESE,20_1,1,22
STEESE,20_1,1,44
STEESE,20_1,1,2
STEESE,20_1,1,0
STEESE,20_1,1,2
STEESE,20_1,1,21
STEESE,20_1,1,19
STEESE,20_1,1,3
STEESE,20_1,1,14
STEESE,20_1,1,22
STEESE,27_2,2,9
STEESE,27_2,2,25
STEESE,27_2,2,30
STEESE,27_2,2,16
STEESE,27_2,2,39
STEESE,27_2,2,22
STEESE,27_2,2,22
STEESE,27_2,2,54
STEESE,27_2,2,37
STEESE,27_2,2,30
STEESE,27_2,2,46
STEESE,27_2,2,10
STEESE,27_2,2,39
STEESE,27_2,2,24
STEESE,27_2,2,22
STEESE,27_2,2,9
STEESE,27_2,2,12
STEESE,27_2,2,2
STEESE,27_2,2,22
STEESE,27_2,2,16
STEESE,27_2,2,6
STEESE,27_2,2,62
STEESE,27_2,2,3
STEESE,27_2,2,19
STEESE,27_2,2,20
STEESE,27_2,2,45
STEESE,27_2,2,48
STEESE,27_2,2,51
STEESE,27_2,2,12
STEESE,27_2,2,14
STEESE,4_2,2,22
STEESE,4_2,2,31
STEESE,4_2,2,13
STEESE,4_2,2,22
STEESE,4_2,2,13
STEESE,4_2,2,48
STEESE,4_2,2,6
STEESE,4_2,2,12
STEESE,4_2,2,41
STEESE,4_2,2,29
STEESE,4_2,2,31
STEESE,4_2,2,77
STEESE,4_2,2,36
STEESE,4_2,2,10
STEESE,4_2,2,17
STEESE,4_2,2,7
STEESE,4_2,2,40
STEESE,4_2,2,15
STEESE,4_2,2,6
STEESE,4_2,2,37
STEESE,4_2,2,63
STEESE,4_2,2,14
STEESE,4_2,2,38
STEESE,4_2,2,10
STEESE,4_2,2,0
STEESE,4_2,2,20
STEESE,4_2,2,4
STEESE,4_2,2,60
STEESE,4_2,2,27
STEESE,4_2,2,18
STEESE,3_2,2,32
STEESE,3_2,2,62
STEESE,3_2,2,27
STEESE,3_2,2,54
STEESE,3_2,2,38
STEESE,3_2,2,30
STEESE,3_2,2,15
STEESE,3_2,2,19
STEESE,3_2,2,44
STEESE,3_2,2,29
STEESE,3_2,2,9
STEESE,3_2,2,63
STEESE,3_2,2,23
STEESE,3_2,2,17
STEESE,3_2,2,42
STEESE,3_2,2,61
STEESE,3_2,2,85
STEESE,3_2,2,64
STEESE,3_2,2,19
STEESE,3_2,2,32
STEESE,3_2,2,4
STEESE,3_2,2,1
STEESE,3_2,2,2
STEESE,3_2,2,30
STEESE,3_2,2,3
STEESE,3_2,2,8
STEESE,3_2,2,20
STEESE,3_2,2,10
STEESE,3_2,2,8
STEESE,3_2,2,14
STEESE,19_2,2,37
STEESE,19_2,2,0
STEESE,19_2,2,42
STEESE,19_2,2,23
STEESE,19_2,2,31
STEESE,19_2,2,22
STEESE,19_2,2,17
STEESE,19_2,2,1
STEESE,19_2,2,61
STEESE,19_2,2,1
STEESE,19_2,2,66
STEESE,19_2,2,65
STEESE,19_2,2,41
STEESE,19_2,2,42
STEESE,19_2,2,41
STEESE,19_2,2,37
STEESE,19_2,2,19
STEESE,19_2,2,6
STEESE,19_2,2,76
STEESE,19_2,2,171
STEESE,19_2,2,17
STEESE,19_2,2,48
STEESE,19_2,2,48
STEESE,19_2,2,59
STEESE,19_2,2,56
STEESE,19_2,2,18
STEESE,19_2,2,40
STEESE,19_2,2,41
STEESE,19_2,2,57
STEESE,19_2,2,
STEESE,28_1,1,29
STEESE,28_1,1,63
STEESE,28_1,1,20
STEESE,28_1,1,19
STEESE,28_1,1,36
STEESE,28_1,1,108
STEESE,28_1,1,17
STEESE,28_1,1,17
STEESE,28_1,1,84
STEESE,28_1,1,24
STEESE,28_1,1,19
STEESE,28_1,1,45
STEESE,28_1,1,4
STEESE,28_1,1,24
STEESE,28_1,1,22
STEESE,28_1,1,6
STEESE,28_1,1,58
STEESE,28_1,1,25
STEESE,28_1,1,27
STEESE,28_1,1,36
STEESE,28_1,1,7
STEESE,28_1,1,21
STEESE,28_1,1,25
STEESE,28_1,1,19
STEESE,28_1,1,43
STEESE,28_1,1,4
STEESE,28_1,1,10
STEESE,28_1,1,23
STEESE,28_1,1,37
STEESE,28_1,1,18
STEESE,5_1,1,1
STEESE,5_1,1,0
STEESE,5_1,1,2
STEESE,5_1,1,22
STEESE,5_1,1,4
STEESE,5_1,1,3
STEESE,5_1,1,31
STEESE,5_1,1,0
STEESE,5_1,1,13
STEESE,5_1,1,0
STEESE,5_1,1,149
STEESE,5_1,1,19
STEESE,5_1,1,5
STEESE,5_1,1,6
STEESE,5_1,1,42
STEESE,5_1,1,4
STEESE,5_1,1,4
STEESE,5_1,1,61
STEESE,5_1,1,57
STEESE,5_1,1,47
STEESE,5_1,1,52
STEESE,5_1,1,3
STEESE,5_1,1,2
STEESE,5_1,1,7
STEESE,5_1,1,21
STEESE,5_1,1,57
STEESE,5_1,1,1
STEESE,5_1,1,4
STEESE,5_1,1,20
STEESE,5_1,1,29
DALTON,32_2  ,2,0
DALTON,32_2  ,2,11
DALTON,32_2  ,2,9
DALTON,32_2  ,2,10
DALTON,32_2  ,2,5
DALTON,32_2  ,2,4
DALTON,32_2  ,2,0
DALTON,32_2  ,2,1
DALTON,32_2  ,2,31
DALTON,32_2  ,2,2
DALTON,32_2  ,2,10
DALTON,32_2  ,2,1
DALTON,32_2  ,2,12
DALTON,32_2  ,2,22
DALTON,32_2  ,2,2
DALTON,32_2  ,2,10
DALTON,32_2  ,2,2.5
DALTON,32_2  ,2,52
DALTON,32_2  ,2,2.5
DALTON,32_2  ,2,0
DALTON,32_2  ,2,240
DALTON,32_2  ,2,112
DALTON,32_2  ,2,5
DALTON,32_2  ,2,9
DALTON,32_2  ,2,1
DALTON,32_2  ,2,25
DALTON,32_2  ,2,36
DALTON,32_2  ,2,6
DALTON,32_2  ,2,45
DALTON,32_2  ,2,5
DALTON,39_2,2,2
DALTON,39_3,2,10
DALTON,39_4,2,21
DALTON,39_5,2,9
DALTON,39_6,2,28
DALTON,39_7,2,17
DALTON,39_8,2,33
DALTON,39_9,2,78
DALTON,39_10,2,12
DALTON,39_11,2,40
DALTON,39_12,2,26
DALTON,39_13,2,19
DALTON,39_14,2,15
DALTON,39_15,2,21
DALTON,39_16,2,20
DALTON,39_17,2,10
DALTON,39_18,2,12
DALTON,39_19,2,10
DALTON,39_20,2,16
DALTON,39_21,2,20
DALTON,39_22,2,20
DALTON,39_23,2,30
DALTON,39_24,2,34
DALTON,39_25,2,16
DALTON,39_26,2,206
DALTON,39_27,2,70
DALTON,39_28,2,39
DALTON,39_29,2,20
DALTON,39_30,2,54
DALTON,39_31,2,35
DALTON,56_2,2,69
DALTON,56_2,2,34
DALTON,56_2,2,7
DALTON,56_2,2,23
DALTON,56_2,2,58
DALTON,56_2,2,6
DALTON,56_2,2,19
DALTON,56_2,2,12
DALTON,56_2,2,9
DALTON,56_2,2,26
DALTON,56_2,2,68
DALTON,56_2,2,94
DALTON,56_2,2,11
DALTON,56_2,2,50
DALTON,56_2,2,50
DALTON,56_2,2,14
DALTON,56_2,2,61
DALTON,56_2,2,7
DALTON,56_2,2,20
DALTON,56_2,2,12
DALTON,56_2,2,154
DALTON,56_2,2,128
DALTON,56_2,2,2
DALTON,56_2,2,6
DALTON,56_2,2,14
DALTON,56_2,2,14
DALTON,56_2,2,7
DALTON,56_2,2,10
DALTON,56_2,2,89
DALTON,56_2,2,26
DALTON,56_2,2,
DALTON,56_2,2,
DALTON,57_2,2,16
DALTON,57_2,2,4
DALTON,57_2,2,19
DALTON,57_2,2,105
DALTON,57_2,2,32
DALTON,57_2,2,9
DALTON,57_2,2,2
DALTON,57_2,2,27
DALTON,57_2,2,3
