SITE,PLOT,TREAT,1HOUR,10HOUR,100HOUR,1000HOUR
STEESE,32_2,2,48,17,20,0
STEESE,22_3,3,96,8,17,4
STEESE,17_3,3,54,6,6,0
STEESE,25_3,3,58,10,10,0
STEESE,35_3,3,98,15,16,9
STEESE,24_3,3,75,7,10,2
STEESE,26_2,2,9,17,5,0
STEESE,33_1,1,92,14,21,6
STEESE,18_1,1,21,8,6,4
STEESE,29_1,2,163,32,40,14
STEESE,23_3,3,46,13,9,4
STEESE,2_3,3,36,9,16,5
STEESE,36_1,1,21,12,3,4
STEESE,20_1,1,26,5,10,4
STEESE,27_2,2,7,7,6,2
STEESE,4_2,2,25,10,4,0
STEESE,3_2,2,20,8,5,2
STEESE,19_2,2,13,13,14,2
STEESE,28_1,1,20,11,9,0
STEESE,5_1,1,28,21,9,0
DALTON,32_2,3,10,5,6,0
DALTON,39_2,2,22,11,20,16
DALTON,56_2,2,23,10,31,26
DALTON,57_2,2,48,13,35,2
DALTON,47_2,2,64,20,23,9
DALTON,37_3,3,56,31,12,10
DALTON,15_3,3,116,8,14,0
DALTON,55_3,3,55,18,22,8
DALTON,54_3,3,44,5,11,1
DALTON,14_3,3,38,23,12,10
DALTON,7_3,3,148,38,20,9
DALTON,12_1,1,91,20,8,24
DALTON,50_1,1,84,6,24,24
DALTON,64_1,1,59,8,10,2
DALTON,65_1,1,30,0,11,3
DALTON,52_1,1,67,9,5,8
DALTON,11_0,0,27,8,1,0
DALTON,58_0,0,29,6,1,1
DALTON,10_0,0,39,5,1,2
DALTON,41_1,1,12,4,7,2
DALTON,48_1,1,58,11,9,13
DALTON,44_0,0,12,2,3,1
DALTON,16_2,2,43,10,13,2
DALTON,8_2,2,16,11,19,5
DALTON,40_2,2,48,12,11,4
DALTON,42_1,1,39,8,7,2