SITE,TREAT,PLOT,1HR_TONS.H,10HR_TONS.H,100HR_TONS.H,1000HR_TONS.H
DALTON,2,32_2,1.1964681,0.556992997,1.726052341,0
DALTON,2,39_2,2.63094719,1.224787489,5.750704241,12.1314443
DALTON,2,56_2,2.750985376,1.113625206,8.915048831,21.41700453
DALTON,2,57_2,5.747290087,1.44925177,10.07607779,1.485155984
DALTON,2,47_2,7.677721133,2.233885772,6.634096471,5.469467507
DALTON,3,37_3,6.730606868,3.469017556,3.467759979,9.713460453
DALTON,3,15_3,13.93441611,0.894745205,4.043527568,0
DALTON,3,55_3,6.959404258,2.010921802,6.346997665,5.907074058
DALTON,3,54_3,5.516725434,0.558305812,3.171887752,0.766895758
DALTON,3,14_3,4.5547735,2.566785818,3.45832673,8.274763266
DALTON,3,7_3,17.85081867,4.238713599,5.761073984,7.998407578
DALTON,1,12_1,10.89718566,2.229880347,2.303374377,26.1751158
DALTON,1,50_1,10.41722764,0.557418673,6.909485827,24.30714094
DALTON,1,64_1,7.06400751,0.891800546,2.878728632,1.898020687
DALTON,1,65_1,3.589543967,0,3.164552422,2.043140846
DALTON,1,52_1,8.014200111,1.002320229,1.437993658,7.512457841
DALTON,0,11_0,3.229165374,0.890830579,0.287559758,0
DALTON,0,58_0,3.474604793,0.669325349,0.288077277,0.631899593
DALTON,0,10_0,4.67158246,0.55763243,0.288005644,2.640621298
DALTON,1,41_1,1.437940304,0.44627053,2.016783304,1.299295755
DALTON,1,48_1,6.937572816,1.225041645,2.588353905,10.87586267
DALTON,0,44_0,1.43579806,0.222802838,0.863048014,0.509862107
DALTON,2,16_2,6.939491694,1.225380482,2.589069824,1.164762526
DALTON,2,8_2,1.915370047,1.226038197,5.468747813,3.352293011
DALTON,2,40_2,5.741465157,1.336415022,3.163557759,2.841387532
DALTON,1,42_1,4.662104716,0.890401762,2.011949352,1.0061425
STEESE,2,34_2,5.735893387,1.891417317,5.74634128,0
STEESE,3,22_3,11.47174596,0.890075571,4.884372709,3.611031472
STEESE,3,17_3,6.452939907,0.667565244,1.723918372,0
STEESE,3,25_3,6.930908612,1.112604432,2.873186159,0
STEESE,3,35_3,11.71090776,1.668915508,4.597122261,10.10506497
STEESE,3,24_3,8.962731912,0.778853524,2.873298391,1.766812919
STEESE,2,26_2,1.07555126,1.891542622,1.436680493,0
STEESE,1,33_1,10.99444543,1.557729853,6.034014954,6.057380597
STEESE,1,18_1,2.509518375,0.890101799,1.723947049,6.073808995
STEESE,1,29_1,19.47959158,3.56058065,11.49354024,9.435089447
STEESE,3,23_3,5.497524329,1.446542797,2.586148295,3.79001944
STEESE,3,2_3,4.302454475,1.001462978,4.597644126,3.839394562
STEESE,1,36_1,2.509562939,1.335176408,0.861988832,2.66712551
STEESE,1,20_1,3.106996184,0.556308868,2.873220515,3.396437693
STEESE,2,27_2,0.836475344,0.778810415,1.723883614,2.289210883
STEESE,2,4_2,2.987467972,1.112607174,1.149277296,0
STEESE,2,3_2,2.390049675,0.890113782,1.436641881,1.32090574
STEESE,2,19_2,1.553709344,1.446599745,4.023055721,1.516178866
STEESE,1,28_1,2.390287964,1.224028474,2.586213207,0
STEESE,1,5_1,3.346496206,2.336846613,2.586285124,0
STEESE,0,1_0,0.956113447,0.667650681,1.436782503,0.232042537
STEESE,0,31_0,0.478056724,0.445100454,0.287356501,0.091989428
STEESE,0,9_0,0.717085086,0.445100454,0.287356501,1.293103987
STEESE,0,6_0,1.195141809,0.222550227,1.436782503,0.509284032