SITE,SAMPLE,PLOT,TREAT,WET_WEIGHT,DRY_WEIGHT
DALTON,65_1_4,65_1,1,191,119
DALTON,52_1_1,52_1,1,135,115
DALTON,37_3_2,37_3,3,15,3
DALTON,52_1_2,52_1,1,115,85
DALTON,56_2_4,56_2,2,45,30
DALTON,14_3_4,14_3,3,82,61
DALTON,11_0_1,11_0,0,30,16
DALTON,55_3_3,55_3,3,30,15
DALTON,7_3_2,7_3,3,35,21
DALTON,32_2_3,32_2,2,82,63
DALTON,47_2_2,47_2,2,25,12
DALTON,57_2_4,57_2,2,24,16
DALTON,12_1_4,12_1,1,77,58
DALTON,14_3_1,14_3,3,26,12
DALTON,50_1_5,50_1,1,51,32
DALTON,7_3_1,7_3,3,24,11
DALTON,12_1_2,12_1,1,67,48
DALTON,12_1_1,12_1,1,40,24
DALTON,14_3_3,14_3,3,37,21
DALTON,54_3_1,54_3,3,30,16
DALTON,32_2_2,32_2,2,36,20
DALTON,47_2_1,47_2,2,37,22
DALTON,15_3_2,15_3,3,87,67
DALTON,55_3_2,55_3,3,36,18
DALTON,52_1_3,52_1,1,133,105
DALTON,39_2_1,39_2,2,116,98
DALTON,39_2_5,39_2,2,146,126
DALTON,12_1_5,12_1,1,95,78
DALTON,55_2_3,55_3,3,30,17
DALTON,32_2_4,32_2,2,80,65
DALTON,50_1_2,50_1,1,77,58
DALTON,65_1_1,65_1,1,99,74
DALTON,47_2_3,47_2,2,43,29
DALTON,52_1_4,52_1,1,45,29
DALTON,65_1_3,65_1,1,76,44
DALTON,32_2_5,32_2,2,48,
DALTON,12_1_3,12_1,1,47,
DALTON,32_2_1,32_2,2,56,
DALTON,55_3_4,55_3,3,22,
DALTON,64_1_2,64_1,1,73,
DALTON,64_1_3,64_1,1,226,
DALTON,11_0_2,11_0,0,75,
DALTON,39_2_4,39_2,2,115,
DALTON,32_2_3,32_2,2,92,
DALTON,65_1_2,65_1,1,165,
DALTON,65_1_5,65_1,1,163,
DALTON,64_1_1,64_1,1,101,
DALTON,57_2_1,57_2,2,33,
DALTON,55_3_2,55_3,3,26,
DALTON,39_2_3,39_2,2,50,
DALTON,64_1_4,64_1,1,110,
DALTON,55_3_5,55_3,3,15,
DALTON,7_3_3,7_3,3,14,
DALTON,37_3_1,37_3,3,15,
DALTON,11_0_3,11_0,0,40,
DALTON,7_3_5,7_3,3,43,
DALTON,37_3_5,37_3,3,12,
DALTON,37_3_3,37_3,3,7,
DALTON,52_1_5,52_1,1,75,
DALTON,11_0_5,11_0,0,28,
DALTON,39_2_3,39_2,2,67,
DALTON,57_2_2,57_2,2,22,
DALTON,47_2_4,47_2,2,37,
DALTON,56_2_5,56_2,2,29,
DALTON,57_2_5,57_2,2,14,
DALTON,15_3_3,15_3,3,38,
DALTON,14_3_5,14_3,3,28,
DALTON,56_2_1,56_2,2,36,
DALTON,57_2_3,57_2,2,43,
DALTON,55_3_1,55_3,3,31,
DALTON,54_3_5,54_3,3,27,
DALTON,56_2_2,56_2,2,32,
DALTON,47_2_5,47_2,2,24,
DALTON,54_3_2,54_3,3,39,
DALTON,14_3_2,14_3,3,24,
DALTON,50_1_1,50_1,1,168,
DALTON,54_3_3,54_3,3,32,
DALTON,15_3_1,15_3,3,40,
DALTON,64_1_1,64_1,1,128,
DALTON,14_3_4,14_3,3,40,
DALTON,37_3_4,37_3,3,27,
DALTON,50_1_3,50_1,1,114,
DALTON,7_3_4,7_3,3,16,
DALTON,54_3_4,54_3,3,67,
DALTON,50_1_4,50_1,1,74,
DALTON,15_3_4,15_3,3,61,
DALTON,11_0_4,11_0,0,106,
DALTON,15_3_1,15_3,3,81,
DALTON,39_2_2,39_2,2,133,
STEESE,1,,,60,31
STEESE,2,,,185,151
STEESE,3,,,84,51
STEESE,4,,,57,46
STEESE,5,,,59,38
STEESE,6,,,64,44
STEESE,7,,,171,146
STEESE,8,,,110,79
STEESE,9,,,90,66
STEESE,10,,,164,126
STEESE,11,,,115,96
STEESE,12,,,163,133
STEESE,13,,,230,72
STEESE,14,,,150,62
STEESE,15,,,75,36
STEESE,16,,,75,57
STEESE,17,,,115,87
STEESE,18,,,327,207
STEESE,19,,,53,32
STEESE,20,,,173,95
STEESE,21,,,145,91
STEESE,22,,,56,24
STEESE,23,,,44,26
STEESE,24,,,89,40
STEESE,25,,,172,49
STEESE,26,,,56,30
STEESE,27,,,169,44
STEESE,28,,,111,25
STEESE,29,,,71,16
STEESE,30,,,235,58
STEESE,31,,,151,99